EventType	clientTime(ms)	buffer_level	cls	colors	bitrate_kbps
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:56.278		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:56.282		purple	blue	
FRAGMENT_LOADING_STARTED	2024-01-25 08:36:56.283		blue	blue	
	2024-01-25 08:36:57.071	3.303		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:36:57.982		purple	blue	
	2024-01-25 08:36:58.071	6.267		blue	6.0
	2024-01-25 08:36:59.071	5.444		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:37:00.067		blue	blue	
	2024-01-25 08:37:00.071	4.381		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:37:00.786		purple	blue	
	2024-01-25 08:37:01.071	7.319		blue	6.0
	2024-01-25 08:37:02.071	6.522		blue	6.0
	2024-01-25 08:37:03.071	5.459		blue	6.0
	2024-01-25 08:37:04.071	4.397		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:37:04.326		blue	blue	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:37:04.727		purple	blue	
	2024-01-25 08:37:05.071	7.334		blue	6.0
	2024-01-25 08:37:06.071	6.272		blue	6.0
	2024-01-25 08:37:07.071	5.475		blue	6.0
	2024-01-25 08:37:08.071	4.412		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:37:08.247		blue	blue	
	2024-01-25 08:37:09.071	3.35		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:37:09.314		purple	blue	
	2024-01-25 08:37:10.071	6.287		blue	6.0
	2024-01-25 08:37:11.071	5.491		blue	6.0
	2024-01-25 08:37:12.071	4.428		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:37:12.365		blue	blue	
	2024-01-25 08:37:13.071	3.366		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:37:13.171		purple	blue	
	2024-01-25 08:37:14.071	6.303		blue	6.0
	2024-01-25 08:37:15.071	5.506		blue	6.0
	2024-01-25 08:37:16.071	4.444		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:37:16.204		blue	blue	
	2024-01-25 08:37:17.071	3.381		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:37:17.695		purple	blue	
	2024-01-25 08:37:18.071	6.319		blue	6.0
	2024-01-25 08:37:19.071	5.522		blue	6.0
	2024-01-25 08:37:20.071	4.459		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:37:20.268		blue	blue	
	2024-01-25 08:37:21.071	3.397		blue	6.0
	2024-01-25 08:37:22.071	2.334		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:37:22.757		purple	blue	
	2024-01-25 08:37:23.071	5.272		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:37:23.868		blue	blue	
	2024-01-25 08:37:24.071	4.475		blue	6.0
	2024-01-25 08:37:25.071	3.412		blue	6.0
	2024-01-25 08:37:26.070	2.35		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:37:26.348		purple	blue	
	2024-01-25 08:37:27.071	5.428		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:37:28.011		blue	blue	
	2024-01-25 08:37:28.071	4.366		blue	6.0
	2024-01-25 08:37:29.071	3.303		blue	6.0
	2024-01-25 08:37:30.071	2.506		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:37:30.710		purple	blue	
	2024-01-25 08:37:31.071	5.334		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:37:31.925		blue	blue	
	2024-01-25 08:37:32.071	4.272		blue	6.0
	2024-01-25 08:37:33.071	3.475		blue	6.0
	2024-01-25 08:37:34.071	2.412		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:37:34.453		purple	blue	
	2024-01-25 08:37:35.071	5.334		blue	6.0
	2024-01-25 08:37:36.071	4.272		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:37:36.131		blue	blue	
	2024-01-25 08:37:37.071	3.334		blue	6.0
	2024-01-25 08:37:38.071	2.381		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:37:38.476		purple	blue	
	2024-01-25 08:37:39.071	5.319		blue	6.0
	2024-01-25 08:37:40.071	4.522		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:37:40.109		blue	blue	
	2024-01-25 08:37:41.071	3.459		blue	6.0
	2024-01-25 08:37:42.071	2.397		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:37:42.277		purple	blue	
	2024-01-25 08:37:43.071	5.506		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:37:43.936		blue	blue	
	2024-01-25 08:37:44.071	4.444		blue	6.0
	2024-01-25 08:37:45.071	3.381		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:37:45.866		purple	blue	
	2024-01-25 08:37:46.071	6.287		blue	6.0
	2024-01-25 08:37:47.071	5.265		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:37:48.017		blue	blue	
	2024-01-25 08:37:48.071	4.459		blue	6.0
	2024-01-25 08:37:49.071	3.397		blue	6.0
	2024-01-25 08:37:50.071	2.334		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:37:50.273		purple	blue	
	2024-01-25 08:37:51.071	5.506		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:37:51.943		blue	blue	
	2024-01-25 08:37:52.071	4.444		blue	6.0
BUFFER_EMPTY	2024-01-25 08:37:52.436	0.0	red	red	
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:37:52.880		purple	blue	
	2024-01-25 08:37:53.074	7.561		blue	6.0
	2024-01-25 08:37:54.071	6.499		blue	6.0
	2024-01-25 08:37:55.071	5.702		blue	6.0
	2024-01-25 08:37:56.071	4.639		blue	6.0
FRAGMENT_LOADING_STARTED	2024-01-25 08:37:56.450		blue	blue	
	2024-01-25 08:37:57.071	3.577		blue	6.0
FRAGMENT_LOADING_COMPLETED	2024-01-25 08:37:58.105		purple	blue	
	2024-01-25 08:37:58.122	2.514		blue	6.0
