Config	tput	cqi
100	0.002	6.17
100	0.004	7.5
100	0.002	6.5
100	0.002	4.0
100	0.002	4.14
100	0.001	7.57
100	0.002	7.83
100	0.003	8.5
100	0.002	7.14
100	0.004	4.67
100	0.001	7.17
100	0.002	4.86
100	0.002	6.17
100	0.002	5.33
100	0.002	7.33
100	0.002	6.83
100	0.002	5.57
100	0.001	5.8
100	0.001	6.14
100	0.0	6.33
100	0.002	4.67
100	0.002	4.6
100	18.945	8.0
100	17.828	8.17
100	19.793	8.33
100	18.063	8.33
100	12.801	7.14
100	17.303	6.33
100	17.514	8.67
100	22.67	8.83
100	18.35	8.57
100	13.339	8.5
100	21.845	8.33
100	27.202	6.83
100	20.702	6.29
100	18.338	5.75
100	22.044	5.63
100	22.878	7.17
100	25.11	6.14
100	27.067	9.0
100	29.359	7.67
100	24.184	6.5
100	26.285	9.33
100	29.165	8.14
100	30.035	7.67
100	25.29	8.5
100	27.464	6.86
100	26.1	9.17
100	31.181	8.83
100	30.167	6.33
100	26.516	8.14
100	24.162	8.67
100	29.023	8.83
100	31.74	8.17
100	36.892	7.0
100	32.525	9.5
100	35.861	9.67
100	39.019	9.6
100	41.914	7.0
100	48.677	7.5
100	46.817	8.0
100	49.185	8.86
100	49.904	8.67
100	50.571	9.43
100	44.562	9.4
100	34.192	9.14
100	32.705	8.67
100	33.649	8.67
100	37.816	8.67
100	35.627	9.14
100	36.457	8.83
100	42.569	9.17
100	44.976	9.17
100	39.141	8.57
100	38.586	9.33
100	35.609	9.17
100	41.055	8.83
100	39.345	9.33
100	35.855	9.83
100	39.367	9.67
100	41.678	9.86
100	42.339	9.5
100	31.421	9.8
100	37.459	9.0
100	42.333	8.86
100	41.944	8.5
100	42.503	8.83
100	40.769	9.33
100	35.685	9.33
100	27.34	9.8
100	27.321	8.75
100	28.503	8.5
100	26.519	7.67
100	29.502	7.14
100	30.03	7.67
100	30.525	8.0
100	27.677	8.0
100	30.6	8.0
100	40.008	8.0
100	41.298	9.33
100	37.395	7.83
100	36.07	7.57
100	45.038	7.67
100	46.081	8.75
100	42.432	8.38
100	42.04	8.86
100	39.733	9.83
100	37.015	9.0
100	30.784	8.67
100	28.825	8.43
100	33.501	9.67
100	24.363	8.5
100	19.565	7.43
100	33.495	8.83
100	45.145	9.67
100	40.937	9.86
100	41.462	9.5
100	41.649	9.67
100	32.124	9.57
100	37.301	9.33
100	32.709	9.5
100	33.319	9.33
100	46.668	9.71
100	48.013	9.33
100	22.929	9.83
100	16.292	9.33
100	29.15	9.29
100	47.891	9.33
100	51.288	9.57
100	49.879	9.67
100	49.627	9.67
100	50.791	9.67
100	50.089	9.83
100	48.801	8.5
100	49.873	9.17
100	49.76	9.0
100	46.233	9.0
100	47.164	9.17
100	46.845	8.43
100	46.326	7.83
100	47.825	9.0
100	46.587	9.83
100	47.093	9.14
100	45.56	9.17
100	45.588	9.5
100	46.629	9.0
100	42.46	9.0
100	45.896	9.17
100	48.362	9.67
100	39.194	8.33
100	40.162	8.71
100	43.152	8.83
100	43.959	9.67
100	45.69	9.83
100	35.454	8.67
100	36.456	7.33
100	36.091	7.0
100	42.203	6.86
100	45.135	9.67
100	45.145	9.83
100	44.15	9.17
100	46.988	9.83
100	46.694	9.67
100	41.075	9.83
100	39.775	9.33
100	34.495	8.43
100	32.483	7.5
100	32.867	8.0
100	34.758	8.0
100	35.173	8.0
100	34.996	8.0
100	33.766	8.0
100	36.952	8.0
100	35.073	8.14
100	33.084	8.83
100	27.356	7.83
100	25.327	6.17
100	26.853	6.14
100	24.755	7.33
100	32.423	8.0
100	36.056	9.17
100	38.714	9.33
100	44.55	9.71
100	45.49	9.0
100	43.942	9.0
100	40.841	8.86
100	39.973	8.83
100	25.077	9.5
100	31.261	9.83
100	29.982	9.57
100	29.435	8.67
100	28.416	8.67
100	26.745	8.17
100	26.17	9.0
100	25.087	9.83
100	24.444	8.17
100	18.571	9.71
100	19.893	9.5
100	19.187	9.33
100	13.533	8.33
100	10.753	8.43
100	8.477	8.0
100	7.924	7.33
100	5.702	5.71
100	5.166	6.17
100	2.523	6.17
100	0.033	5.67
100	0.054	4.14
100	0.274	3.33
100	1.192	3.57
100	0.693	3.0
100	1.242	3.67
100	2.692	6.14
100	2.776	5.17
100	1.316	5.5
100	2.051	4.5
100	2.57	5.17
100	0.953	3.86
100	1.06	3.67
100	0.221	3.5
100	0.378	3.0
100	0.452	3.29
100	0.503	3.17
100	0.134	3.0
100	0.054	3.0
100	0.047	3.0
100	0.08	3.0
100	0.08	3.0
100	0.18	3.0
100	0.555	4.14
100	1.922	6.17
100	4.07	7.0
100	2.598	5.86
100	1.989	4.83
100	2.245	5.33
100	0.685	6.33
100	0.572	5.14
100	4.807	7.67
100	12.552	7.0
100	8.353	8.33
100	4.65	7.83
100	4.391	7.43
100	4.417	6.5
100	12.359	6.33
100	11.303	7.33
100	12.359	6.29
100	16.19	6.33
100	9.47	6.83
100	6.081	7.57
100	6.242	8.0
100	6.299	7.67
100	4.95	7.0
100	4.415	6.57
100	4.64	6.0
100	3.772	5.5
100	3.588	5.17
100	3.313	6.0
100	3.22	5.8
100	3.757	5.0
100	4.141	5.67
100	6.971	6.14
100	8.451	7.17
100	5.786	6.0
100	7.287	6.83
100	4.931	6.71
100	4.725	6.83
100	2.045	5.33
100	1.99	5.86
100	0.488	4.2
100	2.193	3.86
100	2.38	3.67
100	2.008	4.67
100	2.348	3.86
100	3.588	3.67
100	7.013	5.67
100	4.46	5.83
100	5.321	5.0
100	4.596	6.0
100	5.049	6.33
100	6.063	6.17
100	3.679	5.0
100	2.491	4.33
100	1.443	3.33
100	1.767	3.5
100	1.675	3.0
100	1.107	3.0
100	1.766	3.0
100	1.286	3.43
100	1.668	3.8
100	1.756	3.43
100	1.3	3.0
100	1.82	3.33
100	2.01	3.43
100	1.214	3.0
100	2.718	5.33
100	1.742	5.0
100	0.815	4.14
100	1.982	4.67
100	2.914	5.5
100	2.894	6.17
100	0.973	4.43
100	1.582	4.0
100	3.376	5.67
100	5.354	7.83
100	5.856	6.83
100	4.925	7.14
100	4.838	6.0
100	3.909	6.17
100	2.761	5.71
100	2.779	5.6
100	1.757	4.86
100	1.837	5.33
100	3.17	6.0
100	3.471	5.17
100	3.083	5.83
100	3.093	4.67
100	1.659	4.17
100	0.955	3.0
100	0.73	3.0
100	0.551	3.0
100	0.926	3.0
100	0.785	3.0
100	1.054	3.0
100	1.088	3.0
100	1.377	3.0
100	3.739	4.5
100	2.864	5.17
100	2.725	4.17
100	0.88	3.57
100	1.182	3.67
100	0.901	3.0
100	1.316	3.0
100	2.184	3.0
100	1.988	3.0
100	1.951	3.33
100	0.973	3.5
100	1.563	3.83
100	3.675	4.0
100	1.974	5.0
100	0.913	3.83
100	1.321	3.86
100	0.869	3.2
100	0.254	3.0
100	1.17	3.67
100	2.527	5.0
100	2.792	5.5
100	2.158	6.67
100	4.762	8.17
100	5.862	8.71
100	6.358	8.5
100	0.373	4.17
100	0.0	4.0
100	0.0	3.67
100	0.001	3.57
100	0.0	3.17
100	0.0	2.17
100	0.004	2.5
100	0.774	2.67
100	0.897	2.67
100	0.091	2.67
100	2.217	2.71
100	0.892	3.0
100	0.125	3.0
100	0.071	2.86
100	0.181	2.5
100	0.042	2.67
100	0.82	2.0
100	0.444	3.33
100	0.297	4.14
100	2.711	5.83
