Config	tput	cqi
100	3.638	12.17
100	7.039	12.4
100	6.798	13.0
100	8.685	14.57
100	17.594	15.0
100	18.236	15.0
100	19.563	15.0
100	20.442	15.0
100	21.596	15.0
100	23.44	15.0
100	20.275	15.0
100	21.957	15.0
100	22.05	15.0
100	21.691	15.0
100	21.472	15.0
100	21.705	15.0
100	22.614	15.0
100	22.206	15.0
100	21.726	15.0
100	21.809	15.0
100	23.528	15.0
100	21.94	15.0
100	22.448	15.0
100	24.513	15.0
100	26.126	15.0
100	25.648	15.0
100	23.195	15.0
100	21.355	15.0
100	20.449	15.0
100	23.211	15.0
100	22.755	15.0
100	22.539	15.0
100	21.37	15.0
100	21.434	15.0
100	24.296	15.0
100	25.859	14.14
100	24.613	15.0
100	24.067	15.0
100	23.873	15.0
100	22.503	15.0
100	23.333	14.0
100	23.238	15.0
100	26.1	15.0
100	25.345	15.0
100	27.137	15.0
100	27.091	15.0
100	26.616	15.0
100	25.208	15.0
100	23.628	15.0
100	24.647	15.0
100	23.62	15.0
100	23.111	15.0
100	23.274	15.0
100	22.093	15.0
100	19.94	15.0
100	19.662	15.0
100	19.532	15.0
100	19.789	15.0
100	21.17	15.0
