Config	Tput(Mbps)
O_Sp_90Mhz	69.975
O_Sp_90Mhz	71.952
O_Sp_90Mhz	72.189
O_Sp_90Mhz	75.046
O_Sp_90Mhz	85.614
O_Sp_90Mhz	80.393
O_Sp_90Mhz	75.481
O_Sp_90Mhz	76.162
O_Sp_90Mhz	80.521
O_Sp_90Mhz	79.263
O_Sp_90Mhz	77.619
O_Sp_90Mhz	72.783
O_Sp_90Mhz	74.351
O_Sp_90Mhz	71.277
O_Sp_90Mhz	83.598
O_Sp_90Mhz	53.061
O_Sp_90Mhz	50.062
O_Sp_90Mhz	52.445
O_Sp_90Mhz	55.155
O_Sp_90Mhz	59.11
O_Sp_90Mhz	60.334
O_Sp_90Mhz	62.371
O_Sp_90Mhz	56.018
O_Sp_90Mhz	58.818
O_Sp_90Mhz	65.203
O_Sp_90Mhz	68.362
O_Sp_90Mhz	66.626
O_Sp_90Mhz	68.253
O_Sp_90Mhz	77.128
O_Sp_90Mhz	82.403
O_Sp_90Mhz	81.714
O_Sp_90Mhz	98.485
O_Sp_90Mhz	96.746
O_Sp_90Mhz	81.027
O_Sp_90Mhz	76.746
O_Sp_90Mhz	91.216
O_Sp_90Mhz	102.023
O_Sp_90Mhz	88.105
O_Sp_90Mhz	101.498
O_Sp_90Mhz	100.572
O_Sp_90Mhz	102.65
O_Sp_90Mhz	103.12
O_Sp_90Mhz	98.144
O_Sp_90Mhz	77.992
O_Sp_90Mhz	73.588
O_Sp_90Mhz	80.434
O_Sp_90Mhz	80.084
O_Sp_90Mhz	85.977
O_Sp_90Mhz	93.167
O_Sp_90Mhz	99.025
O_Sp_90Mhz	99.114
O_Sp_90Mhz	87.067
O_Sp_90Mhz	81.373
O_Sp_90Mhz	83.034
O_Sp_90Mhz	82.857
O_Sp_90Mhz	74.885
O_Sp_90Mhz	77.537
O_Sp_90Mhz	78.09
O_Sp_90Mhz	73.685
O_Sp_90Mhz	80.67
O_Sp_90Mhz	79.206
O_Sp_90Mhz	76.976
O_Sp_90Mhz	88.859
O_Sp_90Mhz	90.046
O_Sp_90Mhz	92.231
O_Sp_90Mhz	93.717
O_Sp_90Mhz	85.787
O_Sp_90Mhz	76.086
O_Sp_90Mhz	73.245
O_Sp_90Mhz	66.764
O_Sp_90Mhz	70.34
O_Sp_90Mhz	60.456
O_Sp_90Mhz	59.913
O_Sp_90Mhz	66.067
O_Sp_90Mhz	71.176
O_Sp_90Mhz	65.24
O_Sp_90Mhz	70.873
O_Sp_90Mhz	69.064
O_Sp_90Mhz	67.591
O_Sp_90Mhz	76.26
O_Sp_90Mhz	66.113
O_Sp_90Mhz	79.851
O_Sp_90Mhz	70.465
O_Sp_90Mhz	78.425
O_Sp_90Mhz	81.899
O_Sp_90Mhz	92.624
O_Sp_90Mhz	96.021
